vl_cnpj;optante_simples;optante_simei
191;FALSE;FALSE
35300;FALSE;FALSE
328405;FALSE;FALSE
467448;FALSE;FALSE
589632;FALSE;FALSE
704245;FALSE;FALSE
208000100;FALSE;FALSE
208012621;FALSE;FALSE
1180000126;FALSE;FALSE
6874000156;FALSE;FALSE
21055000269;null;null
21581000148;FALSE;FALSE
21803000203;FALSE;FALSE
27568000104;TRUE;FALSE
28415000173;FALSE;FALSE
57309000118;TRUE;FALSE
59319000192;FALSE;FALSE
63947000141;FALSE;FALSE
70698000111;FALSE;FALSE
72429000194;FALSE;FALSE
78115000107;FALSE;FALSE
1,16845E+11;FALSE;FALSE
1,27993E+11;FALSE;FALSE
1,39348E+11;FALSE;FALSE
2,03351E+11;FALSE;FALSE
2,17289E+11;FALSE;FALSE
2,18928E+11;TRUE;FALSE
2,30225E+11;TRUE;FALSE
2,38905E+11;TRUE;FALSE
2,42184E+11;FALSE;FALSE
2,52011E+11;TRUE;FALSE
2,63914E+11;FALSE;FALSE
2,72185E+11;FALSE;FALSE
2,75977E+11;TRUE;FALSE
2,92951E+11;FALSE;FALSE
3,25276E+11;FALSE;FALSE
3,36701E+11;FALSE;FALSE
3,55025E+11;FALSE;FALSE
3,59742E+11;FALSE;FALSE
3,60305E+11;FALSE;FALSE
3,94478E+11;FALSE;FALSE
4,05891E+11;TRUE;FALSE
4,16968E+11;FALSE;FALSE
4,19223E+11;TRUE;FALSE
4,4754E+11;FALSE;FALSE
5,07331E+11;TRUE;FALSE
5,11505E+11;FALSE;FALSE
5,19712E+11;FALSE;FALSE
5,27392E+11;TRUE;FALSE
5,28749E+11;TRUE;TRUE
5,40565E+11;FALSE;FALSE
5,56667E+11;FALSE;FALSE
5,73373E+11;TRUE;FALSE
5,76704E+11;FALSE;FALSE
6,01763E+11;FALSE;FALSE
6,07587E+11;FALSE;FALSE
6,22309E+11;FALSE;FALSE
6,22416E+11;FALSE;FALSE
6,36363E+11;TRUE;FALSE
6,51923E+11;TRUE;FALSE
6,56484E+11;TRUE;FALSE
6,64518E+11;FALSE;FALSE
6,87544E+11;null;null
6,96185E+11;TRUE;FALSE
7,05885E+11;TRUE;FALSE
7,187E+11;FALSE;FALSE
7,20022E+11;FALSE;FALSE
7,34543E+11;FALSE;FALSE
7,43065E+11;FALSE;FALSE
7,54836E+11;FALSE;FALSE
7,5599E+11;FALSE;FALSE
7,64305E+11;TRUE;FALSE
7,66597E+11;FALSE;FALSE
7,74872E+11;FALSE;FALSE
7,76574E+11;FALSE;FALSE
7,91156E+11;FALSE;FALSE
8,09995E+11;FALSE;FALSE
8,26607E+11;FALSE;FALSE
8,33176E+11;FALSE;FALSE
8,38431E+11;TRUE;FALSE
8,4415E+11;TRUE;FALSE
8,57396E+11;TRUE;FALSE
8,64214E+11;FALSE;FALSE
8,70953E+11;TRUE;FALSE
8,86828E+11;FALSE;FALSE
9,05274E+11;FALSE;FALSE
9,14988E+11;FALSE;FALSE
9,24429E+11;FALSE;FALSE
9,31489E+11;TRUE;FALSE
9,31718E+11;FALSE;FALSE
9,34861E+11;TRUE;FALSE
9,38574E+11;FALSE;FALSE
9,40094E+11;TRUE;FALSE
9,45803E+11;TRUE;FALSE
9,49142E+11;FALSE;FALSE
9,5219E+11;TRUE;FALSE
9,80086E+11;FALSE;FALSE
9,81562E+11;TRUE;FALSE
9,81903E+11;TRUE;FALSE
9,84008E+11;FALSE;FALSE
9,84046E+11;FALSE;FALSE
9,84317E+11;TRUE;TRUE
1,00369E+12;FALSE;FALSE
1,02441E+12;TRUE;FALSE
1,02669E+12;TRUE;FALSE
1,02706E+12;FALSE;FALSE
1,03069E+12;FALSE;FALSE
1,03424E+12;TRUE;FALSE
1,03901E+12;TRUE;FALSE
1,0601E+12;TRUE;TRUE
1,06409E+12;FALSE;FALSE
1,07899E+12;FALSE;FALSE
1,0832E+12;FALSE;FALSE
1,092E+12;TRUE;FALSE
1,09269E+12;FALSE;FALSE
1,10494E+12;FALSE;FALSE
1,10733E+12;FALSE;FALSE
1,11991E+12;FALSE;FALSE
1,14535E+12;TRUE;FALSE
1,15646E+12;FALSE;FALSE
1,16543E+12;TRUE;FALSE
1,16723E+12;TRUE;FALSE
1,1756E+12;FALSE;FALSE
1,18152E+12;FALSE;FALSE
1,18312E+12;FALSE;FALSE
1,19072E+12;FALSE;FALSE
1,19215E+12;TRUE;FALSE
1,20118E+12;FALSE;FALSE
1,20694E+12;FALSE;FALSE
1,20726E+12;FALSE;FALSE
1,20784E+12;FALSE;FALSE
1,20946E+12;TRUE;FALSE
1,22931E+12;TRUE;FALSE
1,25838E+12;FALSE;FALSE
1,25968E+12;TRUE;FALSE
1,26486E+12;TRUE;FALSE
1,26579E+12;FALSE;FALSE
1,27533E+12;FALSE;FALSE
1,27578E+12;FALSE;FALSE
1,28091E+12;TRUE;FALSE
1,28224E+12;FALSE;FALSE
1,28487E+12;FALSE;FALSE
1,30139E+12;FALSE;FALSE
1,30303E+12;FALSE;FALSE
1,30534E+12;FALSE;FALSE
1,311E+12;TRUE;FALSE
1,31882E+12;TRUE;FALSE
1,3452E+12;FALSE;FALSE
1,35821E+12;TRUE;FALSE
1,37475E+12;TRUE;FALSE
1,38396E+12;TRUE;FALSE
1,38487E+12;null;null
1,39399E+12;FALSE;FALSE
1,40336E+12;FALSE;FALSE
1,40528E+12;FALSE;FALSE
1,40904E+12;null;null
1,41722E+12;FALSE;FALSE
1,42402E+12;FALSE;FALSE
1,43741E+12;FALSE;FALSE
1,43741E+12;FALSE;FALSE
1,47205E+12;FALSE;FALSE
1,473E+12;FALSE;FALSE
1,47592E+12;TRUE;FALSE
1,49396E+12;TRUE;FALSE
1,49996E+12;FALSE;FALSE
1,50237E+12;FALSE;FALSE
1,51293E+12;FALSE;FALSE
1,51514E+12;FALSE;FALSE
1,52162E+12;FALSE;FALSE
1,53219E+12;FALSE;FALSE
1,53408E+12;FALSE;FALSE
1,54583E+12;FALSE;FALSE
1,54748E+12;FALSE;FALSE
1,54898E+12;FALSE;FALSE
1,55258E+12;FALSE;FALSE
1,55512E+12;FALSE;FALSE
1,56041E+12;FALSE;FALSE
1,56703E+12;FALSE;FALSE
1,58151E+12;FALSE;FALSE
1,5991E+12;FALSE;FALSE
1,60929E+12;FALSE;FALSE
1,6257E+12;FALSE;FALSE
1,63956E+12;FALSE;FALSE
1,66118E+12;FALSE;FALSE
1,66672E+12;TRUE;FALSE
1,67813E+12;FALSE;FALSE
1,68504E+12;FALSE;FALSE
1,70204E+12;TRUE;FALSE
1,71613E+12;FALSE;FALSE
1,73514E+12;TRUE;FALSE
1,77498E+12;TRUE;FALSE
1,78683E+12;TRUE;FALSE
1,78731E+12;TRUE;FALSE
1,80954E+12;TRUE;FALSE
1,81346E+12;TRUE;FALSE
1,82626E+12;TRUE;TRUE
1,83009E+12;FALSE;FALSE
1,83864E+12;TRUE;FALSE
1,83872E+12;FALSE;FALSE
1,8489E+12;FALSE;FALSE
1,85177E+12;FALSE;FALSE
1,85757E+12;FALSE;FALSE
1,86434E+12;FALSE;FALSE
1,86454E+12;TRUE;FALSE
1,86779E+12;FALSE;FALSE
1,89283E+12;TRUE;FALSE
1,89678E+12;FALSE;FALSE
1,90299E+12;FALSE;FALSE
1,907E+12;FALSE;FALSE
1,90706E+12;TRUE;FALSE
1,9189E+12;FALSE;FALSE
1,9228E+12;FALSE;FALSE
1,92347E+12;FALSE;FALSE
1,92467E+12;FALSE;FALSE
1,92488E+12;FALSE;FALSE
1,92686E+12;FALSE;FALSE
1,92804E+12;TRUE;FALSE
1,9288E+12;FALSE;FALSE
1,93306E+12;FALSE;FALSE
1,93878E+12;FALSE;FALSE
1,94601E+12;FALSE;FALSE
1,95152E+12;TRUE;FALSE
1,95777E+12;FALSE;FALSE
1,95909E+12;TRUE;FALSE
1,96385E+12;TRUE;FALSE
1,97161E+12;FALSE;FALSE
1,97508E+12;FALSE;FALSE
1,98822E+12;TRUE;FALSE
1,99149E+12;TRUE;FALSE
