id;tp_reg;dt_pregao;cd_bdi;cd_acao;tp_merc;nm_empresa_rdz;especi;prazot;moeda_ref;vl_abertura;Valor Máximo;Valor Mínimo;Valor Médio;Valor Fechamento;vl_mlh_oft_compra;vl_mlh_oft_venda;vl_ttl_neg;qt_tit_neg;vl_volume;vl_exec_opc;in_opc;dt_vnct_opc;ft_cotacao;vl_exec_moeda_corrente;cd_isin;cd_acao_rdz;created_at;updated_at;index_level_0;vl_cnpj
7003492;1;21/10/2022;2;CSAN3;10;COSAN;ON      NM;null;R$;1657;1721;1649;1692;171;171;1712;27857;13546300;2,29295E+16;0;0;99991231;1;0;BRCSANACNOR6;CSAN;21/10/2022 21:45:34;21/10/2022 21:45:34;36;5,07466E+13
6994354;1;20/10/2022;2;CSAN3;10;COSAN;ON      NM;null;R$;1663;1705;1637;1667;1656;1656;1657;29733;13214300;2,20308E+16;0;0;99991231;1;0;BRCSANACNOR6;CSAN;20/10/2022 21:45:34;20/10/2022 21:45:34;216;5,07466E+13
6985661;1;19/10/2022;2;CSAN3;10;COSAN;ON      NM;null;R$;1643;1668;1633;1646;1646;1646;1647;15179;6825500;1,12358E+16;0;0;99991231;1;0;BRCSANACNOR6;CSAN;19/10/2022 21:45:34;19/10/2022 21:45:34;267;5,07466E+13
7003524;1;21/10/2022;2;ENAT3;10;ENAUTA PART;ON      NM;null;R$;1526;1571;1515;1547;1553;1553;156;4889;1447400;2,24021E+14;0;0;99991231;1;0;BRENATACNOR0;ENAT;21/10/2022 21:45:34;21/10/2022 21:45:34;5;1,1669E+13
6994386;1;20/10/2022;2;ENAT3;10;ENAUTA PART;ON      NM;null;R$;157;1611;1524;1555;1531;153;1538;3846;1121000;1,74427E+14;0;0;99991231;1;0;BRENATACNOR0;ENAT;20/10/2022 21:45:34;20/10/2022 21:45:34;19;1,1669E+13
6985692;1;19/10/2022;2;ENAT3;10;ENAUTA PART;ON      NM;null;R$;1515;1577;1511;1555;1563;1563;1565;6110;1278300;1,98884E+14;0;0;99991231;1;0;BRENATACNOR0;ENAT;19/10/2022 21:45:34;19/10/2022 21:45:34;24;1,1669E+13
6977395;1;18/10/2022;2;ENAT3;10;ENAUTA PART;ON      NM;null;R$;151;1529;1491;1506;152;1509;152;3132;655400;98767560;0;0;99991231;1;0;BRENATACNOR0;ENAT;18/10/2022 21:45:32;18/10/2022 21:45:32;40;1,1669E+13
6969310;1;17/10/2022;2;ENAT3;10;ENAUTA PART;ON      NM;null;R$;1533;1551;1506;1523;1506;1506;151;3025;736700;1,12237E+14;0;0;99991231;1;0;BRENATACNOR0;ENAT;17/10/2022 21:45:32;17/10/2022 21:45:32;58;1,1669E+13
6961811;1;14/10/2022;2;ENAT3;10;ENAUTA PART;ON      NM;null;R$;1589;1591;152;1552;1527;1524;1527;3217;812200;1,26079E+14;0;0;99991231;1;0;BRENATACNOR0;ENAT;14/10/2022 21:45:33;14/10/2022 21:45:33;68;1,1669E+13
6954327;1;13/10/2022;2;ENAT3;10;ENAUTA PART;ON      NM;null;R$;1486;1599;1485;1566;1586;1585;1586;7364;1933300;3,02918E+14;0;0;99991231;1;0;BRENATACNOR0;ENAT;13/10/2022 21:45:35;13/10/2022 21:45:35;72;1,1669E+13
6947298;1;11/10/2022;2;ENAT3;10;ENAUTA PART;ON      NM;null;R$;158;1587;150;1527;1507;1506;1507;6854;1861300;2,84313E+14;0;0;99991231;1;0;BRENATACNOR0;ENAT;11/10/2022 21:45:34;11/10/2022 21:45:34;75;1,1669E+13
6940203;1;10/10/2022;2;ENAT3;10;ENAUTA PART;ON      NM;null;R$;1596;1622;1566;1594;159;1588;159;3706;847400;1,35103E+13;0;0;99991231;1;0;BRENATACNOR0;ENAT;10/10/2022 21:45:34;10/10/2022 21:45:34;89;1,1669E+13
6932762;1;07/10/2022;2;ENAT3;10;ENAUTA PART;ON      NM;null;R$;1611;164;1593;1618;1593;1593;1594;5303;1215200;1,96689E+14;0;0;99991231;1;0;BRENATACNOR0;ENAT;07/10/2022 21:45:37;07/10/2022 21:45:37;94;1,1669E+13
6925129;1;06/10/2022;2;ENAT3;10;ENAUTA PART;ON      NM;null;R$;1579;162;1558;1594;1612;1612;1613;4228;1054000;1,68051E+14;0;0;99991231;1;0;BRENATACNOR0;ENAT;06/10/2022 23:30:32;06/10/2022 23:30:32;102;1,1669E+13
6917709;1;05/10/2022;2;ENAT3;10;ENAUTA PART;ON      NM;null;R$;154;1626;154;1591;1567;1567;1568;7678;1949600;3,10264E+14;0;0;99991231;1;0;BRENATACNOR0;ENAT;05/10/2022 21:45:39;05/10/2022 21:45:39;125;1,1669E+13
6909834;1;04/10/2022;2;ENAT3;10;ENAUTA PART;ON      NM;null;R$;1563;1592;1515;1549;1522;1519;1522;6815;1638300;2,53773E+13;0;0;99991231;1;0;BRENATACNOR0;ENAT;04/10/2022 21:45:32;04/10/2022 21:45:32;133;1,1669E+13
6901676;1;03/10/2022;2;ENAT3;10;ENAUTA PART;ON      NM;null;R$;1493;1541;1493;1524;1532;1532;1533;5295;1232900;1,87936E+14;0;0;99991231;1;0;BRENATACNOR0;ENAT;03/10/2022 21:45:33;03/10/2022 21:45:33;152;1,1669E+13
6894391;1;30/09/2022;2;ENAT3;10;ENAUTA PART;ON      NM;null;R$;1417;1465;1385;144;1452;1452;1462;5721;1414700;2,03756E+14;0;0;99991231;1;0;BRENATACNOR0;ENAT;30/09/2022 21:45:33;30/09/2022 21:45:33;161;1,1669E+13
6886846;1;29/09/2022;2;ENAT3;10;ENAUTA PART;ON      NM;null;R$;1409;1425;1386;1409;1417;1414;1417;5986;1861000;2,62346E+14;0;0;99991231;1;0;BRENATACNOR0;ENAT;29/09/2022 23:30:31;29/09/2022 23:30:31;173;1,1669E+13
6879843;1;28/09/2022;2;ENAT3;10;ENAUTA PART;ON      NM;null;R$;143;1446;1395;142;1416;1416;1417;5141;1527900;2,17085E+14;0;0;99991231;1;0;BRENATACNOR0;ENAT;28/09/2022 21:45:34;28/09/2022 21:45:34;180;1,1669E+13
6872765;1;27/09/2022;2;ENAT3;10;ENAUTA PART;ON      NM;null;R$;1465;1475;1425;1447;1426;1426;1428;4762;1410800;2,04195E+14;0;0;99991231;1;0;BRENATACNOR0;ENAT;27/09/2022 21:45:38;27/09/2022 21:45:38;191;1,1669E+13
6865650;1;26/09/2022;2;ENAT3;10;ENAUTA PART;ON      NM;null;R$;1479;1479;1433;1446;1437;1437;1438;5270;1540000;2,22704E+14;0;0;99991231;1;0;BRENATACNOR0;ENAT;26/09/2022 21:45:31;26/09/2022 21:45:31;201;1,1669E+13
6858694;1;23/09/2022;2;ENAT3;10;ENAUTA PART;ON      NM;null;R$;156;1572;1478;150;1482;1482;1483;6331;2085000;3,12877E+14;0;0;99991231;1;0;BRENATACNOR0;ENAT;23/09/2022 21:45:32;23/09/2022 21:45:32;210;1,1669E+13
6851530;1;22/09/2022;2;ENAT3;10;ENAUTA PART;ON      NM;null;R$;1608;1621;1575;1596;1606;1606;161;4753;1292100;2,06269E+14;0;0;99991231;1;0;BRENATACNOR0;ENAT;22/09/2022 21:45:36;22/09/2022 21:45:36;218;1,1669E+13
6844598;1;21/09/2022;2;ENAT3;10;ENAUTA PART;ON      NM;null;R$;1662;1685;1592;1618;1592;1592;1596;4117;1102200;1,78354E+14;0;0;99991231;1;0;BRENATACNOR0;ENAT;21/09/2022 21:45:29;21/09/2022 21:45:29;229;1,1669E+13
6837597;1;20/09/2022;2;ENAT3;10;ENAUTA PART;ON      NM;null;R$;1619;165;1593;1616;1622;1622;1624;4918;1022500;1,65261E+14;0;0;99991231;1;0;BRENATACNOR0;ENAT;20/09/2022 21:45:29;20/09/2022 21:45:29;236;1,1669E+13
