vl_cnpj;nivel_atividade;empresa_porte;saude_tributaria
3,36701E+11;ALTO;GRANDE;VERDE
8,64214E+11;ALTO;GRANDE;VERDE
9,24429E+11;ALTO;GRANDE;CINZA
1,10494E+12;ALTO;MEDIA;CINZA
1,10733E+12;ALTO;GRANDE;VERMELHO
1,95777E+12;ALTO;GRANDE;CINZA
2,29108E+12;ALTO;GRANDE;CINZA
2,79678E+12;ALTO;GRANDE;CINZA
2,9983E+12;ALTO;GRANDE;VERDE
3,01455E+12;ALTO;GRANDE;CINZA
3,3427E+12;ALTO;GRANDE;VERMELHO
3,46732E+12;ALTO;GRANDE;VERDE
3,84746E+12;ALTO;GRANDE;CINZA
4,03018E+12;ALTO;GRANDE;CINZA
4,06579E+12;ALTO;MEDIA;VERDE
6,03395E+12;MEDIO;PEQUENA;CINZA
6,97775E+12;ALTO;GRANDE;VERDE
8,76462E+12;ALTO;GRANDE;CINZA
8,9263E+12;ALTO;GRANDE;VERMELHO
9,11481E+12;MEDIO;MEDIA;VERDE
9,29506E+12;ALTO;GRANDE;CINZA
9,30599E+12;ALTO;GRANDE;CINZA
1,19927E+13;ALTO;GRANDE;CINZA
1,25287E+13;MEDIO;GRANDE;VERDE
1,26483E+13;BAIXO;GRANDE;CINZA
1,6922E+13;MEDIO;GRANDE;VERDE
1,84837E+13;MEDIO;GRANDE;VERDE
3,84569E+13;BAIXO;GRANDE;Não Cadastrado
3,93908E+13;MEDIO;MEI;Não Cadastrado
4,09634E+13;MEDIO;MICRO;Não Cadastrado
4,52144E+13;ALTO;MEI;Não Cadastrado
4,52429E+13;ALTO;GRANDE;VERMELHO
4,53394E+13;MEDIO;MICRO;Não Cadastrado
4,54532E+13;ALTO;GRANDE;VERDE
5,12181E+13;ALTO;GRANDE;VERDE
5,97176E+13;ALTO;GRANDE;AMARELA
6,03984E+13;ALTO;GRANDE;CINZA
6,06518E+13;ALTO;GRANDE;VERDE
6,07703E+13;ALTO;GRANDE;AMARELA
6,10244E+13;ALTO;GRANDE;VERMELHO
6,14099E+13;ALTO;GRANDE;AMARELA
6,15841E+13;ALTO;GRANDE;CINZA
7,14765E+13;ALTO;GRANDE;VERMELHO
8,6551E+13;ALTO;GRANDE;CINZA
8,77626E+13;ALTO;MEDIA;CINZA
9,16697E+13;ALTO;PEQUENA;VERDE
9,26656E+13;ALTO;GRANDE;VERMELHO
1180000126;ALTO;GRANDE;VERDE
2,72185E+11;ALTO;GRANDE;CINZA
7,43065E+11;ALTO;GRANDE;CINZA
1,93878E+12;ALTO;GRANDE;VERDE
2,06275E+12;ALTO;GRANDE;CINZA
2,35188E+12;ALTO;GRANDE;AMARELA
2,42914E+12;ALTO;GRANDE;VERMELHO
2,60486E+12;ALTO;GRANDE;CINZA
5,91749E+12;ALTO;GRANDE;VERDE
7,23737E+12;ALTO;GRANDE;CINZA
8,29422E+12;ALTO;GRANDE;CINZA
8,3242E+12;ALTO;GRANDE;VERDE
8,57441E+12;ALTO;MEDIA;VERDE
8,81164E+12;ALTO;GRANDE;CINZA
9,08318E+12;MEDIO;GRANDE;VERDE
9,2292E+12;MUITO BAIXO;GRANDE;CINZA
1,01399E+13;BAIXO;GRANDE;CINZA
1,21042E+13;ALTO;GRANDE;VERDE
1,48079E+13;ALTO;GRANDE;CINZA
1,48761E+13;ALTO;MEDIA;CINZA
1,62334E+13;ALTO;GRANDE;VERDE
1,65902E+13;ALTO;GRANDE;AMARELA
2,66591E+13;BAIXO;GRANDE;CINZA
3,07239E+13;ALTO;GRANDE;VERMELHO
3,34536E+13;ALTO;GRANDE;AMARELA
4,00599E+13;MEDIO;MEDIA;Não Cadastrado
4,03251E+13;ALTO;MEI;Não Cadastrado
4,03371E+13;MUITO BAIXO;GRANDE;Não Cadastrado
4,09109E+13;MEDIO;MEI;Não Cadastrado
4,11145E+13;MEDIO;MEI;Não Cadastrado
4,48175E+13;ALTO;MEI;Não Cadastrado
4,52681E+13;MEDIO;MEI;Não Cadastrado
4,5285E+13;BAIXO;MEI;Não Cadastrado
4,53464E+13;MEDIO;MEI;Não Cadastrado
4,53568E+13;MUITO BAIXO;MICRO;Não Cadastrado
4,58259E+13;Não Cadastrado;MEI;Não Cadastrado
4,74076E+13;Não Cadastrado;MICRO;Não Cadastrado
5,6643E+13;ALTO;GRANDE;VERMELHO
6,1082E+13;ALTO;MEDIA;VERMELHO
6,14867E+13;ALTO;GRANDE;VERMELHO
8,2901E+13;ALTO;GRANDE;AMARELA
8,38789E+13;ALTO;GRANDE;VERMELHO
8,74566E+13;ALTO;GRANDE;VERMELHO
8,90861E+13;ALTO;GRANDE;CINZA
9,04415E+13;ALTO;GRANDE;VERMELHO
9,27492E+13;ALTO;GRANDE;CINZA
208000100;ALTO;GRANDE;VERDE
1,5991E+12;ALTO;GRANDE;VERDE
2,14921E+12;ALTO;GRANDE;CINZA
2,25519E+12;ALTO;MEDIA;VERDE
2,3021E+12;ALTO;GRANDE;VERMELHO
2,32828E+12;ALTO;GRANDE;AMARELA
2,35725E+12;ALTO;MEDIA;CINZA
2,76212E+12;ALTO;GRANDE;VERMELHO
2,84606E+12;ALTO;GRANDE;CINZA
2,91627E+12;ALTO;GRANDE;CINZA
2,99245E+12;ALTO;GRANDE;CINZA
3,304E+12;ALTO;GRANDE;VERDE
4,14945E+12;ALTO;GRANDE;VERDE
4,91371E+12;ALTO;GRANDE;VERDE
5,49555E+12;MEDIO;GRANDE;CINZA
6,97775E+12;ALTO;GRANDE;VERDE
7,85997E+12;ALTO;GRANDE;VERMELHO
8,31223E+12;ALTO;GRANDE;VERDE
8,56044E+12;ALTO;GRANDE;VERDE
8,79776E+12;MEDIO;GRANDE;VERDE
9,61177E+12;MEDIO;GRANDE;VERDE
1,1669E+13;ALTO;GRANDE;CINZA
1,30097E+13;ALTO;GRANDE;VERDE
1,32175E+13;MEDIO;GRANDE;CINZA
1,47852E+13;MEDIO;GRANDE;VERDE
1,5144E+13;ALTO;GRANDE;AMARELA
1,84945E+13;ALTO;GRANDE;CINZA
1,97682E+13;MEDIO;PEQUENA;CINZA
1,98535E+13;ALTO;GRANDE;CINZA
2,02583E+13;ALTO;GRANDE;CINZA
3,0541E+13;ALTO;GRANDE;VERDE
3,30501E+13;ALTO;GRANDE;VERDE
3,34121E+13;ALTO;GRANDE;VERDE
3,76631E+13;MEDIO;GRANDE;Não Cadastrado
3,93912E+13;ALTO;MEI;Não Cadastrado
